author,published_at,updated_at,like_count,text
@PursuitofWonder,2024-10-01T15:01:30Z,2024-10-01T15:01:30Z,8,"Thank you for watching. I hope this video helped you in some way—even if just for a moment. <br>Consider checking out more of my work here: <a href=""https://www.amazon.com/stores/Robert-Pantano/author/B08DCRJ85C"">https://www.amazon.com/stores/Robert-Pantano/author/B08DCRJ85C</a>"
@Naratifan,2024-10-13T23:46:30Z,2024-10-13T23:46:30Z,0,"Good video, thank you !"
@parvanehalipouralmajavan8234,2024-10-13T23:43:30Z,2024-10-13T23:43:30Z,0,💗🙏
@AmritBankar,2024-10-13T22:10:35Z,2024-10-13T22:10:35Z,0,I needed to hear this today
@temetnosce6192,2024-10-12T23:34:36Z,2024-10-12T23:36:05Z,0,If an atom is the scale... I am a giant!-)
@RichardS-qh8mi,2024-10-12T11:14:48Z,2024-10-12T11:14:48Z,0,"We’ve always existed and will forever, just not always consciously."
@belowfactual,2024-10-11T08:15:02Z,2024-10-11T08:15:02Z,0,Yes this rid of my stress and  also every other emotion I have🙂
@RoyKristian-l8i,2024-10-09T08:59:22Z,2024-10-09T08:59:22Z,1,This will stop my anxiety but soon i will still have my anxiety again😢
@Skyler-mw7hw,2024-10-09T08:22:24Z,2024-10-09T08:22:24Z,0,Everything and everyone except jesus all their names will die out and be forgotten but jesus will always be remembered
@dawnfield4713,2024-10-08T21:37:32Z,2024-10-08T21:37:32Z,0,"We&#39;re All significant in our own ways, and our physical bodies won&#39;t live forever  but our consciousness and spirit ✨️ will."
@michaelevans3942,2024-10-07T21:52:35Z,2024-10-07T21:52:35Z,0,Well said.
@AmyJager-k5c,2024-10-07T16:04:50Z,2024-10-07T16:04:50Z,0,You always explain things so well!
@visualbrain5810,2024-10-07T08:43:44Z,2024-10-07T08:43:44Z,0,As a Buddhist I don&#39;t share this  approach of life.
@cleen1986,2024-10-04T17:46:25Z,2024-10-04T17:46:25Z,0,A pale blue dot.
@osho1enrique504,2024-10-04T16:38:50Z,2024-10-04T16:38:50Z,0,I love myself and my family 😢😢😢 what should I do 😢
@osho1enrique504,2024-10-04T16:37:47Z,2024-10-04T16:37:47Z,0,😢
